business_type,target_demographic,target_location,campaign_budget_lkr,campaign_goal,listing_type,placement_name,channel_type,district,base_cost_lkr,primary_audience,estimated_reach,historical_ctr,historical_roi,historical_conversion_rate,previous_bookings,budget_gap_lkr,audience_match_score,location_match_score,channel_match_score,reach_to_cost_ratio,match_score
Healthcare,35-44,Kollupitiya,58896,Website Traffic,Web Display Inventory,Pop-up,Digital,Colombo,19851,35-44,187771,0.0275,0.94,0.0581,36,39045,1.0,0.864,0.898,9.45902,0.6713
Technology,45-54,Kalutara Town,66175,Website Traffic,Web Display Inventory,Interstitial Ad,Digital,Kalutara,32048,45-54,172234,0.0279,1.21,0.0546,24,34127,0.9304,0.5976,0.9136,5.374251,0.5489
Food & Beverage,45-54,Kalutara Town,327235,Lead Generation,Cinema Advertising,Intermission Ad,Cinema,Kalutara,103827,45-54,18286,0.0211,0.98,0.0549,28,223408,0.8933,0.5979,0.7007,0.17612,0.6549
Fashion,25-34,Divulapitiya,176948,Customer Retention,Outdoor Static Structure,City Center Billboard,Digital,Gampaha,85723,25-34,38205,0.0196,0.89,0.0643,2,91225,0.9712,0.7146,0.8625,0.44568,0.8797
Fashion,18-24,Maradana,30113,Website Traffic,Radio Spot,Weekend Slot,Audio,Colombo,53816,18-24,244980,0.0128,0.56,0.0334,53,-23703,1.0,0.9567,0.6882,4.552178,0.6211
Travel & Tourism,18-24,Ja-Ela,51409,Website Traffic,Retail & Premises Signage,Counter Display,Outdoor,Gampaha,76501,18-24,12244,0.026,0.59,0.0328,45,-25092,0.8856,0.7966,0.5818,0.16005,0.4825
Food & Beverage,45-54,Kollupitiya,321884,Product Launch,Radio Spot,Midday Slot,Audio,Colombo,43957,45-54,369507,0.0195,1.01,0.0566,36,277927,0.9549,0.7777,0.5238,8.406101,0.7184
FMCG,18-24,Mahabage,170568,Sales Conversion,Radio Spot,Prime Time Slot,Audio,Gampaha,39056,18-24,332710,0.0112,0.5,0.0369,24,131512,0.938,0.7333,0.7805,8.518794,0.6251
Technology,25-34,Mahabage,633104,Product Launch,Newsletter Ad,Special Edition,Digital,Gampaha,33873,25-34,49338,0.0318,0.49,0.0604,57,599231,0.9005,0.6148,0.8317,1.456558,0.738
Financial Services,45-54,Battaramulla,52400,Customer Retention,Outdoor Static Structure,Building Wrap,Digital,Colombo,70003,45-54,51451,0.0137,0.7,0.0457,37,-17603,0.937,0.925,0.7056,0.734983,0.6803
Financial Services,35-44,Minuwangoda,185634,Lead Generation,Vehicle Wrap Media,Three-Wheeler Wrap,Visual,Gampaha,52638,35-44,13616,0.0408,0.9,0.0581,3,132996,1.0,0.6998,0.6496,0.258672,0.5952
Technology,Affluent,Pettah,162655,App Downloads,Retail & Premises Signage,End Cap Display,Visual,Colombo,83269,Affluent,30709,0.0308,1.46,0.0748,14,79386,0.8176,0.7509,0.543,0.368793,0.578
Travel & Tourism,Young Professionals,Mahabage,135818,Sales Conversion,Digital Out-of-Home Screen,Street Level Digital,Digital,Gampaha,185130,Young Professionals,27021,0.058,0.93,0.0453,39,-49312,0.748,0.7036,0.8449,0.145957,0.6698
Technology,25-34,Kadawatha,135995,Event Promotion,Print Publication Ad,Classified,Print,Gampaha,68108,25-34,46098,0.017,0.61,0.0739,7,67887,0.8461,0.7435,0.9249,0.676837,0.6549
Travel & Tourism,35-44,Beruwala,192335,App Downloads,Retail & Premises Signage,Storefront Display,Outdoor,Kalutara,105823,35-44,12358,0.0192,1.04,0.0519,19,86512,1.0,0.3483,0.9396,0.11678,0.7934
Telecommunications,25-34,Negombo,284545,Sales Conversion,Digital Out-of-Home Screen,Mall Digital Screen,Outdoor,Gampaha,108648,25-34,94787,0.0437,0.57,0.0566,11,175897,0.7291,0.5837,0.783,0.872423,0.7184
Automotive,45-54,Battaramulla,128751,Customer Retention,TV Spot,Prime Time,Audio,Colombo,294288,45-54,311608,0.0218,0.6,0.0476,20,-165537,0.8892,0.875,0.898,1.058854,0.6027
Education,35-44,Minuwangoda,149186,Event Promotion,Digital Out-of-Home Screen,Digital Billboard,Digital,Gampaha,133459,35-44,110479,0.0496,0.53,0.0614,15,15727,0.8987,0.6877,0.8228,0.827812,0.7304
Education,35-44,Negombo,312313,Lead Generation,Retail & Premises Signage,Counter Display,Outdoor,Gampaha,30698,35-44,2564,0.0309,0.9,0.0634,6,281615,0.8956,0.6406,0.7262,0.083523,0.7512
E-commerce,25-34,Mount Lavinia,75814,Customer Retention,Social Media Placement,Twitter/X Feed,Digital,Colombo,94851,25-34,534537,0.0312,0.91,0.0648,19,-19037,0.8357,0.7764,0.6583,5.635544,0.6264
Telecommunications,18-24,Mahabage,197527,Product Launch,Digital Out-of-Home Screen,Digital Billboard,Outdoor,Gampaha,107806,18-24,49490,0.0207,0.46,0.0452,37,89721,0.6613,0.8106,0.9023,0.459065,0.5799
Real Estate,35-44,Mathugama,151791,Customer Retention,Vehicle Wrap Media,Truck Wrap,Visual,Kalutara,190400,35-44,23189,0.0217,1.47,0.0662,28,-38609,0.7351,0.592,0.661,0.121791,0.711
Automotive,Families,Kollupitiya,350086,Brand Awareness,Vehicle Wrap Media,Truck Wrap,Outdoor,Colombo,33711,Families,31988,0.0303,1.41,0.0596,32,316375,1.0,0.8217,0.5761,0.948889,0.9118
Hospitality,25-34,Kollupitiya,37086,Website Traffic,Cinema Advertising,Concession Ad,Cinema,Colombo,173214,25-34,88428,0.024,0.81,0.0775,6,-136128,0.7821,0.8295,0.8518,0.510513,0.7066
Hospitality,All Ages,Pettah,175001,Brand Awareness,Web Display Inventory,Pop-up,Digital,Colombo,27927,All Ages,55170,0.0258,0.9,0.0665,30,147074,1.0,0.8749,0.8231,1.975508,0.7591
FMCG,25-34,Kandana,446824,Brand Awareness,Vehicle Wrap Media,Three-Wheeler Wrap,Visual,Gampaha,185001,25-34,83982,0.027,1.08,0.0644,30,261823,0.9271,0.5957,0.8314,0.453954,0.5764
E-commerce,Affluent,Battaramulla,160104,Lead Generation,Retail & Premises Signage,Counter Display,Visual,Colombo,119997,Affluent,30978,0.0372,1.09,0.0762,35,40107,0.8996,0.9959,0.6252,0.258156,0.6838
Food & Beverage,Affluent,Kandana,83444,Sales Conversion,Vehicle Wrap Media,Three-Wheeler Wrap,Outdoor,Gampaha,24920,Affluent,23766,0.0354,1.48,0.0596,25,58524,0.9029,0.8032,0.8922,0.953692,0.6414
Automotive,55+,Wellawatte,40978,Website Traffic,Retail & Premises Signage,Window Display,Outdoor,Colombo,60707,55+,15631,0.018,0.72,0.038,19,-19729,0.9547,0.7912,0.8652,0.257483,0.7083
Hospitality,25-34,Gampaha Town,197978,App Downloads,Retail & Premises Signage,In-Store Digital,Visual,Gampaha,73767,25-34,13740,0.0408,0.53,0.0827,5,124211,0.7291,0.7528,0.5784,0.186262,0.7532
E-commerce,45-54,Divulapitiya,86352,Customer Retention,Print Publication Ad,Newspaper Half Page,Print,Gampaha,12368,45-54,50029,0.0086,0.61,0.0536,17,73984,0.8006,0.8149,0.7828,4.045036,0.6861
Retail,All Ages,Gampaha Town,75144,Event Promotion,Print Publication Ad,Newspaper Full Page,Print,Gampaha,9668,All Ages,49028,0.0157,0.44,0.053,14,65476,1.0,0.5572,0.5469,5.071163,0.3877
Hospitality,35-44,Pettah,107172,Website Traffic,Outdoor Static Structure,Building Wrap,Outdoor,Colombo,92614,35-44,18878,0.019,1.08,0.0471,50,14558,0.8877,0.9208,0.6238,0.203835,0.6694
Telecommunications,45-54,Colombo Fort,247274,Sales Conversion,Native / Sponsored Content,Featured Content,Digital,Colombo,88557,45-54,30467,0.0249,0.74,0.052,84,158717,1.0,0.7765,0.8455,0.344038,0.7649
Travel & Tourism,Young Professionals,Battaramulla,129004,Website Traffic,Digital Out-of-Home Screen,Mall Digital Screen,Digital,Colombo,221025,Young Professionals,238603,0.0329,0.72,0.0694,49,-92021,0.8149,0.8066,0.8071,1.079529,0.4269
Healthcare,18-24,Nugegoda,183387,Customer Retention,Native / Sponsored Content,Partner Post,Digital,Colombo,33945,18-24,225016,0.0301,0.69,0.035,23,149442,0.698,0.9015,0.6503,6.628841,0.6902
FMCG,45-54,Ingiriya,169158,Lead Generation,Outdoor Static Structure,Building Wrap,Digital,Kalutara,129967,45-54,33961,0.0171,1.01,0.0522,21,39191,0.9572,0.3438,0.5913,0.261305,0.4851
FMCG,18-24,Dehiwala,118553,Sales Conversion,Cinema Advertising,Pre-show Ad,Cinema,Colombo,96623,18-24,97681,0.0185,0.56,0.0367,11,21930,1.0,0.9278,0.7789,1.01095,0.6761
Technology,18-24,Kadawatha,205378,Customer Retention,Vehicle Wrap Media,Truck Wrap,Outdoor,Gampaha,108889,18-24,11178,0.0271,0.59,0.0374,11,96489,0.7805,0.7493,0.5792,0.102655,0.6196
Retail,All Ages,Beruwala,47308,Website Traffic,Retail & Premises Signage,Counter Display,Outdoor,Kalutara,117772,All Ages,4413,0.0202,0.62,0.0535,24,-70464,1.0,0.4792,0.6825,0.037471,0.4766
Fashion,25-34,Kadawatha,180599,App Downloads,Web Display Inventory,Pop-up,Digital,Gampaha,58579,25-34,71784,0.0297,1.0,0.0698,20,122020,0.8411,0.5326,0.5647,1.225422,0.5357
Luxury Goods,45-54,Ja-Ela,82580,Sales Conversion,Outdoor Static Structure,City Center Billboard,Outdoor,Gampaha,122753,45-54,14875,0.0183,0.74,0.0405,16,-40173,0.6726,0.5492,0.6912,0.121178,0.4144
Financial Services,All Ages,Horana,141994,Lead Generation,Outdoor Static Structure,Transit Shelter,Outdoor,Kalutara,61563,All Ages,26141,0.0191,0.5,0.0598,8,80431,0.9115,0.4797,0.9232,0.424622,0.6465
Retail,25-34,Divulapitiya,41438,Event Promotion,Cinema Advertising,Intermission Ad,Cinema,Gampaha,41650,25-34,29195,0.0192,1.21,0.0713,13,-212,0.8906,0.8144,0.9209,0.70096,0.753
Hospitality,Affluent,Nugegoda,146057,App Downloads,Digital Out-of-Home Screen,Digital Billboard,Outdoor,Colombo,76892,Affluent,134813,0.0377,1.25,0.0681,22,69165,0.835,0.7782,0.5416,1.753277,0.7089
Food & Beverage,25-34,Minuwangoda,693660,Product Launch,Vehicle Wrap Media,Car Wrap,Visual,Gampaha,89389,25-34,86730,0.0289,0.96,0.077,32,604271,0.9919,0.5609,0.6625,0.970254,0.6272
Automotive,35-44,Pettah,221786,Customer Retention,Vehicle Wrap Media,Car Wrap,Outdoor,Colombo,134776,35-44,106270,0.0265,0.96,0.0675,34,87010,0.911,0.8036,0.5777,0.788494,0.5183
Automotive,Young Professionals,Nugegoda,262895,Sales Conversion,Native / Sponsored Content,Review Sponsorship,Digital,Colombo,55592,Young Professionals,125399,0.0502,0.91,0.0472,31,207303,0.8937,0.9634,0.6211,2.255702,0.7359
Healthcare,25-34,Negombo,266251,Brand Awareness,Digital Out-of-Home Screen,Street Level Digital,Digital,Gampaha,201743,25-34,21035,0.0396,1.02,0.0663,32,64508,0.7935,0.6018,0.891,0.104266,0.6673
Entertainment,25-34,Minuwangoda,296946,Brand Awareness,Event Sponsorship,Presenting Sponsor,Event,Gampaha,172836,25-34,14731,0.043,0.95,0.0723,32,124110,0.9934,0.5523,0.9185,0.085231,0.6395
Automotive,Families,Kandana,710148,Product Launch,Retail & Premises Signage,Storefront Display,Outdoor,Gampaha,69884,Families,3740,0.0283,1.08,0.0415,10,640264,1.0,0.7357,0.7765,0.053517,0.7917
Healthcare,25-34,Wattala,394139,Product Launch,Event Sponsorship,Cocktail Sponsor,Event,Gampaha,295325,25-34,8980,0.0544,0.57,0.0586,15,98814,0.9243,0.6185,0.5032,0.030407,0.7249
Automotive,45-54,Mahabage,35383,Website Traffic,Digital Out-of-Home Screen,Airport Digital Display,Digital,Gampaha,299195,45-54,94245,0.031,0.76,0.0506,8,-263812,1.0,0.6195,0.597,0.314995,0.6547
Education,25-34,Nugegoda,176021,App Downloads,Social Media Placement,Instagram Story,Digital,Colombo,19602,25-34,394110,0.0275,0.99,0.072,13,156419,1.0,0.8497,0.5325,20.105601,0.6934
Retail,Young Professionals,Maradana,168954,Brand Awareness,TV Spot,Prime Time,Audio,Colombo,121455,Young Professionals,692329,0.0356,0.94,0.0732,34,47499,0.9168,0.9599,0.7344,5.700292,0.6488
Travel & Tourism,Affluent,Kollupitiya,150376,Product Launch,Native / Sponsored Content,Review Sponsorship,Digital,Colombo,24020,Affluent,29153,0.041,1.23,0.0746,37,126356,0.9288,0.7822,0.644,1.213697,0.7785
Financial Services,18-24,Bambalapitiya,84154,Website Traffic,Vehicle Wrap Media,Van Wrap,Visual,Colombo,207137,18-24,103756,0.0134,0.53,0.0329,10,-122983,0.8406,0.9416,0.6524,0.500905,0.6355
Travel & Tourism,25-34,Dehiwala,164554,Customer Retention,Outdoor Static Structure,City Center Billboard,Outdoor,Colombo,156169,25-34,83342,0.03,1.02,0.0617,37,8385,0.7744,0.7631,0.8103,0.533665,0.6117
Entertainment,25-34,Wattala,77279,Event Promotion,Outdoor Static Structure,Transit Shelter,Outdoor,Gampaha,104477,25-34,37219,0.0272,0.95,0.0559,35,-27198,0.9756,0.5717,0.8339,0.356241,0.4878
Education,55+,Kollupitiya,96404,App Downloads,Outdoor Static Structure,City Center Billboard,Outdoor,Colombo,53481,55+,48219,0.0114,0.66,0.0372,15,42923,0.9058,0.7965,0.5156,0.90161,0.3365
Healthcare,Students,Colombo Fort,30666,Event Promotion,Outdoor Static Structure,City Center Billboard,Digital,Colombo,157327,Students,71241,0.0151,0.32,0.0279,22,-126661,0.8694,0.7054,0.546,0.452821,0.493
Technology,35-44,Katunayake,166593,Sales Conversion,Print Publication Ad,Magazine Spread,Digital,Gampaha,81915,35-44,119921,0.0181,0.98,0.081,64,84678,1.0,0.5176,0.5283,1.463969,0.6801
Luxury Goods,Young Professionals,Bandaragama,275728,Lead Generation,Digital Out-of-Home Screen,Street Level Digital,Digital,Kalutara,190387,Young Professionals,88912,0.0468,1.56,0.0553,42,85341,0.8047,0.4275,0.7671,0.467007,0.6451
Retail,25-34,Wellawatte,124564,Website Traffic,Digital Out-of-Home Screen,Train Station Screen,Digital,Colombo,133853,25-34,85782,0.0502,0.92,0.0456,49,-9289,0.9331,0.9078,0.6096,0.640867,0.698
E-commerce,25-34,Bambalapitiya,153156,App Downloads,Web Display Inventory,Sidebar Ad,Digital,Colombo,12859,25-34,339346,0.0269,1.16,0.0779,31,140297,0.8579,0.9529,0.7899,26.389766,0.6391
Financial Services,25-34,Dehiwala,279307,Product Launch,Native / Sponsored Content,Featured Content,Digital,Colombo,102337,25-34,63777,0.0539,1.17,0.0714,5,176970,0.8857,0.8012,0.5081,0.623206,0.7995
Telecommunications,35-44,Wattala,453129,Brand Awareness,Web Display Inventory,Interstitial Ad,Digital,Gampaha,14072,35-44,278525,0.0275,1.3,0.0711,12,439057,1.0,0.7285,0.615,19.792851,0.8075
Food & Beverage,55+,Kalutara Town,121462,Website Traffic,Vehicle Wrap Media,Van Wrap,Outdoor,Kalutara,67443,55+,16978,0.0213,0.91,0.0335,25,54019,0.9949,0.3071,0.8164,0.251739,0.6309
E-commerce,Young Professionals,Colombo Fort,102130,Website Traffic,Digital Out-of-Home Screen,Street Level Digital,Outdoor,Colombo,150345,Young Professionals,119621,0.0371,0.91,0.0514,33,-48215,0.8279,0.8854,0.7293,0.795643,0.643
Technology,35-44,Pettah,480297,Brand Awareness,Newsletter Ad,Weekly Newsletter,Print,Colombo,4895,35-44,18969,0.0714,1.18,0.0536,6,475402,0.917,0.7742,0.7904,3.875179,0.8917
Technology,25-34,Minuwangoda,749601,Product Launch,Print Publication Ad,Classified,Print,Gampaha,11712,25-34,61077,0.0104,1.0,0.0849,8,737889,0.7406,0.6644,0.705,5.214908,0.5884
Real Estate,Families,Gampaha Town,49617,App Downloads,Web Display Inventory,Pop-up,Digital,Gampaha,37379,Families,276757,0.0277,1.18,0.0569,47,12238,0.9313,0.695,0.8342,7.404077,0.7224
Telecommunications,25-34,Katunayake,496257,Brand Awareness,Outdoor Static Structure,Highway Billboard,Digital,Gampaha,86621,25-34,62076,0.0275,1.04,0.0684,7,409636,0.8674,0.6101,0.7304,0.716639,0.7278
Fashion,25-34,Bambalapitiya,62218,Event Promotion,Cinema Advertising,Intermission Ad,Cinema,Colombo,132011,25-34,106860,0.023,0.96,0.068,16,-69793,0.878,0.9843,0.8451,0.809478,0.7056
Automotive,45-54,Mount Lavinia,42840,Event Promotion,Radio Spot,Evening Drive,Audio,Colombo,50495,45-54,124399,0.0183,1.09,0.042,82,-7655,0.8765,0.8655,0.8785,2.46359,0.6684
Financial Services,18-24,Dehiwala,170121,Customer Retention,Cinema Advertising,Pre-show Ad,Cinema,Colombo,93486,18-24,129659,0.0171,0.47,0.045,26,76635,0.8212,0.984,0.8268,1.386935,0.6391
E-commerce,18-24,Wattala,117912,Event Promotion,TV Spot,Prime Time,Audio,Gampaha,217932,18-24,430239,0.0142,0.53,0.042,9,-100020,0.8942,0.7929,0.5737,1.974189,0.3872
Financial Services,35-44,Ja-Ela,255469,Brand Awareness,Retail & Premises Signage,End Cap Display,Visual,Gampaha,77408,35-44,4744,0.0309,1.04,0.0575,10,178061,1.0,0.8203,0.8845,0.061286,0.7403
Entertainment,45-54,Battaramulla,176748,App Downloads,TV Spot,Weekend,Audio,Colombo,131298,45-54,595042,0.0258,1.01,0.0604,35,45450,0.9752,0.9206,0.536,4.531996,0.705
Entertainment,25-34,Maradana,69132,Website Traffic,Vehicle Wrap Media,Truck Wrap,Visual,Colombo,90143,25-34,85783,0.0383,1.06,0.0531,30,-21011,0.8989,0.8677,0.7263,0.951632,0.6606
Hospitality,55+,Negombo,240251,Sales Conversion,Vehicle Wrap Media,Truck Wrap,Outdoor,Gampaha,25206,55+,55651,0.0168,0.51,0.0367,22,215045,0.905,0.6353,0.6891,2.207847,0.7645
Real Estate,Affluent,Katunayake,138259,Event Promotion,Web Display Inventory,Video Ad,Digital,Gampaha,33465,Affluent,254658,0.0183,1.01,0.0727,18,104794,0.8959,0.5669,0.8557,7.609682,0.5165
FMCG,All Ages,Colombo Fort,55824,Customer Retention,Vehicle Wrap Media,Bus Wrap,Visual,Colombo,108863,All Ages,99220,0.0145,0.95,0.0655,37,-53039,0.9367,0.726,0.7725,0.911421,0.6543
Automotive,35-44,Katunayake,100820,Website Traffic,Outdoor Static Structure,Highway Billboard,Digital,Gampaha,153463,35-44,38230,0.0179,1.08,0.0719,15,-52643,1.0,0.6946,0.8148,0.249115,0.5572
Real Estate,45-54,Bulathsinhala,84769,Website Traffic,Native / Sponsored Content,Review Sponsorship,Digital,Kalutara,58367,45-54,63892,0.0347,0.76,0.0397,29,26402,1.0,0.3758,0.9015,1.09466,0.5843
Real Estate,35-44,Pettah,140826,Lead Generation,Print Publication Ad,Magazine Spread,Digital,Colombo,28246,35-44,230932,0.0157,0.91,0.0702,18,112580,1.0,0.7219,0.9197,8.175742,0.8202
Fashion,45-54,Kollupitiya,131413,App Downloads,Retail & Premises Signage,Counter Display,Outdoor,Colombo,99921,45-54,5098,0.0251,1.5,0.0473,34,31492,1.0,0.7623,0.8595,0.05102,0.6459
Telecommunications,55+,Kandana,97425,Website Traffic,Social Media Placement,LinkedIn Feed,Digital,Gampaha,34896,55+,133262,0.0271,0.47,0.0371,34,62529,0.9332,0.5856,0.6023,3.818833,0.5963
Financial Services,55+,Bambalapitiya,161585,Brand Awareness,Print Publication Ad,Magazine Spread,Digital,Colombo,37310,55+,241805,0.0134,0.73,0.0422,39,124275,0.8334,0.7033,0.6875,6.48097,0.6118
Travel & Tourism,35-44,Negombo,319346,Lead Generation,Digital Out-of-Home Screen,Street Level Digital,Digital,Gampaha,268260,35-44,123706,0.0477,1.13,0.065,20,51086,0.9839,0.6814,0.7643,0.461142,0.6981
Retail,25-34,Battaramulla,163899,Brand Awareness,Event Sponsorship,Title Sponsor,Event,Colombo,348675,25-34,46674,0.0447,0.71,0.0725,27,-184776,1.0,0.836,0.9452,0.133861,0.6212
Retail,55+,Mahabage,90549,App Downloads,Outdoor Static Structure,City Center Billboard,Outdoor,Gampaha,93415,55+,18983,0.018,0.88,0.0334,25,-2866,0.966,0.6278,0.7409,0.203211,0.665
E-commerce,18-24,Ja-Ela,209858,Product Launch,Cinema Advertising,Concession Ad,Cinema,Gampaha,200761,18-24,42393,0.0162,0.5,0.0315,49,9097,0.9753,0.5819,0.527,0.211162,0.6169
Luxury Goods,45-54,Kollupitiya,99477,Lead Generation,Newsletter Ad,Promotional Email,Print,Colombo,22817,45-54,11631,0.0245,1.1,0.0409,46,76660,1.0,0.9236,0.7315,0.509752,0.8047
Hospitality,35-44,Dehiwala,193777,Lead Generation,Retail & Premises Signage,End Cap Display,Outdoor,Colombo,91137,35-44,4158,0.0335,1.16,0.0467,31,102640,0.7607,0.8179,0.5808,0.045624,0.6749
Automotive,35-44,Battaramulla,589703,Product Launch,Web Display Inventory,Video Ad,Digital,Colombo,55923,35-44,138717,0.0259,1.27,0.0531,32,533780,0.8454,0.8396,0.9244,2.4805,0.6685
E-commerce,35-44,Mathugama,95206,Event Promotion,Newsletter Ad,Industry Digest,Print,Kalutara,5656,35-44,4281,0.0452,1.56,0.0727,40,89550,1.0,0.6061,0.6603,0.756895,0.7886
Healthcare,25-34,Kandana,196235,Event Promotion,Retail & Premises Signage,Window Display,Outdoor,Gampaha,102262,25-34,16590,0.0261,0.98,0.0559,39,93973,0.9197,0.7977,0.895,0.16223,0.8841
Technology,45-54,Mahabage,180815,Customer Retention,Vehicle Wrap Media,Bus Wrap,Outdoor,Gampaha,43222,45-54,67916,0.0163,0.88,0.048,27,137593,0.9794,0.7356,0.5211,1.571329,0.6566
Telecommunications,Affluent,Panadura,576536,Product Launch,Web Display Inventory,Banner Ad,Digital,Kalutara,31054,Affluent,121885,0.0295,0.99,0.0527,8,545482,0.9099,0.6876,0.9199,3.924937,0.7121
FMCG,18-24,Mathugama,57981,App Downloads,Radio Spot,Prime Time Slot,Audio,Kalutara,85131,18-24,186809,0.0133,0.3,0.0323,6,-27150,0.9104,0.5884,0.6587,2.194371,0.6921
Travel & Tourism,35-44,Beruwala,421933,Brand Awareness,Vehicle Wrap Media,Bus Wrap,Outdoor,Kalutara,144230,35-44,11217,0.0262,1.27,0.0581,32,277703,1.0,0.3945,0.7976,0.077772,0.5651
FMCG,55+,Nugegoda,210765,Product Launch,Radio Spot,Midday Slot,Audio,Colombo,31614,55+,505092,0.0116,0.92,0.0363,15,179151,0.828,0.9243,0.7478,15.976846,0.618
Real Estate,18-24,Ja-Ela,118934,App Downloads,Social Media Placement,Twitter/X Feed,Digital,Gampaha,50740,18-24,126774,0.0196,0.68,0.0439,21,68194,0.973,0.657,0.742,2.498502,0.7375
FMCG,All Ages,Kalutara Town,375287,Brand Awareness,Vehicle Wrap Media,Bus Wrap,Visual,Kalutara,66267,All Ages,29630,0.0268,0.45,0.0566,23,309020,0.9886,0.5224,0.6818,0.447131,0.718
Telecommunications,45-54,Kandana,228608,Product Launch,Print Publication Ad,Magazine Spread,Print,Gampaha,29403,45-54,56814,0.0133,0.89,0.0487,11,199205,0.7178,0.6042,0.5148,1.932252,0.6029
Automotive,35-44,Ingiriya,158520,Event Promotion,Retail & Premises Signage,In-Store Digital,Outdoor,Kalutara,109001,35-44,12730,0.0196,1.17,0.0662,21,49519,0.9919,0.4632,0.5861,0.116788,0.6319
Financial Services,18-24,Kollupitiya,267778,Lead Generation,Newsletter Ad,Promotional Email,Digital,Colombo,28029,18-24,68058,0.0382,0.44,0.0341,19,239749,0.9174,0.8383,0.8021,2.428128,0.7088
FMCG,All Ages,Dehiwala,157800,App Downloads,Radio Spot,Prime Time Slot,Audio,Colombo,23643,All Ages,487889,0.0208,0.99,0.0492,18,134157,1.0,0.931,0.5468,20.635664,0.6105
Telecommunications,35-44,Mount Lavinia,179580,Sales Conversion,Cinema Advertising,Intermission Ad,Cinema,Colombo,91274,35-44,119419,0.0226,1.03,0.0339,23,88306,0.9821,0.9269,0.6242,1.308357,0.7867
Real Estate,45-54,Kalutara Town,132895,Lead Generation,Vehicle Wrap Media,Three-Wheeler Wrap,Outdoor,Kalutara,130150,45-54,10216,0.0262,0.31,0.0351,5,2745,0.9064,0.6658,0.5509,0.078494,0.5054
Financial Services,25-34,Dehiwala,185440,Sales Conversion,TV Spot,Prime Time,Audio,Colombo,227522,25-34,685792,0.0246,1.08,0.0626,39,-42082,0.8637,0.8261,0.9246,3.014179,0.6439
FMCG,35-44,Pettah,489357,Brand Awareness,Outdoor Static Structure,Highway Billboard,Digital,Colombo,189591,35-44,124293,0.0215,1.03,0.0655,6,299766,0.7481,0.842,0.7759,0.655585,0.7145
E-commerce,18-24,Ja-Ela,123546,Website Traffic,Social Media Placement,Instagram Story,Digital,Gampaha,67952,18-24,87855,0.0259,0.52,0.0369,52,55594,0.8738,0.6122,0.7486,1.292898,0.5802
Education,18-24,Battaramulla,119383,Website Traffic,Retail & Premises Signage,Storefront Display,Visual,Colombo,122300,18-24,27071,0.0168,0.43,0.0449,10,-2917,0.9075,0.9475,0.8855,0.221349,0.7347
Retail,18-24,Bulathsinhala,152803,Event Promotion,Event Sponsorship,Title Sponsor,Event,Kalutara,115362,18-24,16311,0.0434,0.64,0.0282,55,37441,1.0,0.4172,0.6681,0.14139,0.5911
Retail,35-44,Negombo,116650,Lead Generation,Retail & Premises Signage,Window Display,Outdoor,Gampaha,51925,35-44,9822,0.0281,1.2,0.0571,15,64725,0.7942,0.746,0.5306,0.189157,0.8466
Entertainment,25-34,Divulapitiya,127493,Event Promotion,Digital Out-of-Home Screen,Mall Digital Screen,Outdoor,Gampaha,112074,25-34,39408,0.0423,0.91,0.055,15,15419,1.0,0.7721,0.7505,0.351625,0.7254
FMCG,55+,Gampaha Town,62356,Website Traffic,Digital Out-of-Home Screen,Mall Digital Screen,Digital,Gampaha,109312,55+,108087,0.0251,0.54,0.0393,36,-46956,0.6609,0.6479,0.6343,0.988794,0.5115
Food & Beverage,35-44,Kollupitiya,54275,App Downloads,Retail & Premises Signage,Window Display,Visual,Colombo,152659,35-44,35880,0.0339,0.96,0.0651,8,-98384,0.8611,0.724,0.5824,0.235034,0.6843
Technology,35-44,Colombo Fort,187927,Customer Retention,Radio Spot,Evening Drive,Audio,Colombo,101982,35-44,376482,0.0144,1.21,0.0492,32,85945,0.9858,0.8273,0.701,3.691651,0.5996
E-commerce,25-34,Mahabage,126190,Sales Conversion,Retail & Premises Signage,End Cap Display,Outdoor,Gampaha,65355,25-34,16171,0.0286,0.68,0.0667,31,60835,0.9646,0.5756,0.5825,0.247433,0.7184
Travel & Tourism,25-34,Pettah,211840,Brand Awareness,Social Media Placement,Twitter/X Feed,Digital,Colombo,77549,25-34,322342,0.0401,0.8,0.0694,49,134291,0.9121,0.8376,0.8046,4.156624,0.7242
Food & Beverage,35-44,Colombo Fort,484285,Brand Awareness,Newsletter Ad,Industry Digest,Print,Colombo,24057,35-44,54222,0.045,1.08,0.0696,49,460228,1.0,0.7874,0.6513,2.253897,0.8833
Travel & Tourism,18-24,Negombo,73773,Sales Conversion,Social Media Placement,Instagram Story,Digital,Gampaha,57883,18-24,194758,0.032,0.54,0.0303,31,15890,0.8881,0.6391,0.6516,3.364684,0.6061
Healthcare,Young Professionals,Kollupitiya,120579,App Downloads,Web Display Inventory,Sidebar Ad,Digital,Colombo,41123,Young Professionals,177793,0.0325,1.03,0.0542,41,79456,0.8172,0.8684,0.5837,4.323444,0.6544
Telecommunications,25-34,Mahabage,85639,App Downloads,Cinema Advertising,Intermission Ad,Cinema,Gampaha,139861,25-34,29803,0.0284,1.12,0.0774,21,-54222,0.8758,0.5953,0.6729,0.21309,0.6809
